case,condition,run_idx,session_id,model_id,tokens_input,tokens_output,tokens_total,tokens_cache_read,tokens_cache_write,cost,wall_time_seconds,harness_wall_seconds,tool_calls,bash_calls,pdb_invocations,pytest_passed,golden_match,accuracy,pytest_summary,actual_output,expected_output,opencode_exit_code,opencode_stderr_tail
H2_token_bucket,with-skill,2,ses_1c019212cffeq5YcbUV12TaLII,accounts/fireworks/models/gpt-oss-20b,19744,897,55977,35336,0,0.001167,60.05,60.94,4,0,0,True,True,True,6 passed in 0.00s,"accepted=6 rejected=2 final={'a': 0.5, 'b': 4.5}","accepted=6 rejected=2 final={'a': 0.5, 'b': 4.5}",0,"0gn/T/dse_H2_token_bucket_with-skill_88g4475v/buggy.py | @@ -41,9 +41,9 @@ |          self.last_refill = now |          return |      elapsed = now - self.last_refill |      # Integer truncation here would lose fractional tokens — keep as float. | -    new_tokens = int(elapsed * self.refill_rate) | "
H2_token_bucket,with-skill,3,ses_1c01830f6ffetbSkY8souW6sRz,accounts/fireworks/models/gpt-oss-20b,23013,1999,73646,48634,0,0.00155,60.79,62.04,5,0,0,True,True,True,6 passed in 0.00s,"accepted=6 rejected=2 final={'a': 0.5, 'b': 4.5}","accepted=6 rejected=2 final={'a': 0.5, 'b': 4.5}",0,"0gn/T/dse_H2_token_bucket_with-skill_ttf1jq4m/buggy.py | @@ -41,9 +41,9 @@ |          self.last_refill = now |          return |      elapsed = now - self.last_refill |      # Integer truncation here would lose fractional tokens — keep as float. | -    new_tokens = int(elapsed * self.refill_rate) | "
H3_graph_bfs,without-skill,1,ses_1c0173f80ffe9cniUH8DGSoEV1,accounts/fireworks/models/gpt-oss-20b,9385,904,42002,31713,0,0.00065,53.57,54.45,3,0,0,True,True,True,7 passed in 0.00s,"A -> furthest=C(d=2) | A=0, B=1, C=2, D=1, E=1","A -> furthest=C(d=2) | A=0, B=1, C=2, D=1, E=1",0,"kup | +discovered: set[str] = {source} |  while queue: | -    node, dist = queue.pop() | +    node, dist = queue.popleft() |      for neighbor in graph.neighbors(node): |          new_dist = dist + 1 | -        distances[neighbor] = new_dist | -        if neighbor not in enqueued: | -            enq"
H3_graph_bfs,without-skill,2,ses_1c0166a39ffeekC4ThgH2NmwFK,accounts/fireworks/models/gpt-oss-20b,9104,982,31371,21285,0,0.000652,17.02,17.9,3,0,0,False,False,False,"3 failed, 4 passed in 0.00s","A -> furthest=E(d=3) | A=0, B=1, C=2, D=2, E=3","A -> furthest=C(d=2) | A=0, B=1, C=2, D=1, E=1",0,"[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | [0m✱ [0mGlob ""buggy.py""[90m 1 match[0m | [0m→ [0mRead buggy.py[90m [offset=1, limit=400][0m | [93m[1m! [0mpermission requested: external_directory (/private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/private/var/folders/"
H3_graph_bfs,without-skill,3,ses_1c0162408ffeDp3APpyZVuH2Dd,accounts/fireworks/models/gpt-oss-20b,20785,1863,67913,45265,0,0.001412,68.43,69.23,5,0,0,True,True,True,7 passed in 0.00s,"A -> furthest=C(d=2) | A=0, B=1, C=2, D=1, E=1","A -> furthest=C(d=2) | A=0, B=1, C=2, D=1, E=1",0," node, dist = queue.pop(0) |      for neighbor in graph.neighbors(node): | -        new_dist = dist + 1 | -        distances[neighbor] = new_dist | -        if neighbor not in enqueued: | -            enqueued.add(neighbor) | +        if neighbor not in distances: | +            new_dist = dist + 1 "
H3_graph_bfs,with-skill,1,ses_1c015147fffe9V5i2VAbMT5NbX,accounts/fireworks/models/gpt-oss-20b,10067,1533,45259,33659,0,0.00081,68.31,69.24,3,0,0,True,True,True,7 passed in 0.00s,"A -> furthest=C(d=2) | A=0, B=1, C=2, D=1, E=1","A -> furthest=C(d=2) | A=0, B=1, C=2, D=1, E=1",0,"      for neighbor in graph.neighbors(node): | -            new_dist = dist + 1 | -            distances[neighbor] = new_dist | -            if neighbor not in enqueued: | -                enqueued.add(neighbor) | -                queue.append((neighbor, new_dist)) | +            if neighbor not in "
H3_graph_bfs,with-skill,2,ses_1c01405b4ffeGM4gzmpdvREkDR,accounts/fireworks/models/gpt-oss-20b,8088,2084,12116,1944,0,0.000821,36.57,37.44,0,0,0,False,False,False,"3 failed, 4 passed in 0.00s","A -> furthest=E(d=3) | A=0, B=1, C=2, D=2, E=3","A -> furthest=C(d=2) | A=0, B=1, C=2, D=1, E=1",0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | 
H3_graph_bfs,with-skill,3,ses_1c0137178ffekYXLP67Gbcy8qm,accounts/fireworks/models/gpt-oss-20b,24336,3152,130935,103447,0,0.001847,89.67,90.91,9,3,0,True,True,True,7 passed in 0.01s,"A -> furthest=C(d=2) | A=0, B=1, C=2, D=1, E=1","A -> furthest=C(d=2) | A=0, B=1, C=2, D=1, E=1",0,"[0m | [0m$ [0mpython - << 'PY' | import buggy |  | g = buggy.build_graph([['A','B'],['A','D'],['B','D']]) | print(buggy.shortest_distances(g, 'A')) | PY | zsh:1: command not found: python | [0m | [0m$ [0mpython3 - << 'PY' | import buggy |  | g = buggy.build_graph([['A','B'],['A','D'],['B','D']"
H4_expr_parser,without-skill,1,ses_1c0120e68ffewa2qi0wbc247eV,accounts/fireworks/models/gpt-oss-20b,7563,5500,15003,1940,0,0.001478,60.45,61.45,0,0,0,False,False,False,"3 failed, 5 passed in 0.01s","20 / 2 / 5 = 50
100 / 10 / 2 = 20
2 * 3 * 4 = 24
10 - 2 - 3 = 5
1 + 2 + 3 = 6
(20 / 2) / 5 = 2
20 / (2 / 5) = 50
100 - 50 / 5 = 90
8 / 4 * 2 = 1","20 / 2 / 5 = 2
100 / 10 / 2 = 5
2 * 3 * 4 = 24
10 - 2 - 3 = 5
1 + 2 + 3 = 6
(20 / 2) / 5 = 2
20 / (2 / 5) = 50
100 - 50 / 5 = 90
8 / 4 * 2 = 4",0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | 
H4_expr_parser,without-skill,2,ses_1c0111d70ffe5Grc8kkzBJcSHr,accounts/fireworks/models/gpt-oss-20b,16903,2805,43942,24234,0,0.001406,66.61,67.6,3,0,0,True,True,True,8 passed in 0.01s,"20 / 2 / 5 = 2
100 / 10 / 2 = 5
2 * 3 * 4 = 24
10 - 2 - 3 = 5
1 + 2 + 3 = 6
(20 / 2) / 5 = 2
20 / (2 / 5) = 50
100 - 50 / 5 = 90
8 / 4 * 2 = 4","20 / 2 / 5 = 2
100 / 10 / 2 = 5
2 * 3 * 4 = 24
10 - 2 - 3 = 5
1 + 2 + 3 = 6
(20 / 2) / 5 = 2
20 / (2 / 5) = 50
100 - 50 / 5 = 90
8 / 4 * 2 = 4",0,"6j3p_l/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_H4_expr_parser_without-skill_nq6j3p_l/buggy.py | @@ -73,11 +73,11 @@ |      return value |   |  def term(self) -> float: |      value = self.factor() | -    if self._peek() in (""*"", ""/""): | +    while self._peek() in "
H4_expr_parser,without-skill,3,ses_1c010149effeptCPsjLROD7v4A,accounts/fireworks/models/gpt-oss-20b,33723,4256,93065,55086,0,0.002537,82.53,83.56,6,2,0,True,True,True,8 passed in 0.02s,"20 / 2 / 5 = 2
100 / 10 / 2 = 5
2 * 3 * 4 = 24
10 - 2 - 3 = 5
1 + 2 + 3 = 6
(20 / 2) / 5 = 2
20 / (2 / 5) = 50
100 - 50 / 5 = 90
8 / 4 * 2 = 4","20 / 2 / 5 = 2
100 / 10 / 2 = 5
2 * 3 * 4 = 24
10 - 2 - 3 = 5
1 + 2 + 3 = 6
(20 / 2) / 5 = 2
20 / (2 / 5) = 50
100 - 50 / 5 = 90
8 / 4 * 2 = 4",0,"t('20/2/5:', buggy.evaluate('20 / 2 / 5')) | print('10-2-3:', buggy.evaluate('10 - 2 - 3')) | print('2*3*4:', buggy.evaluate('2 * 3 * 4')) | print('2+3+4:', buggy.evaluate('2 + 3 + 4')) | PY | zsh:1: command not found: python | [0m | [0m$ [0mpython3 - <<'PY' | import buggy | print('20/2/5:', bugg"
H4_expr_parser,with-skill,1,ses_1c00ecb35ffel7voD7wiv3bQ0L,accounts/fireworks/models/gpt-oss-20b,18186,1100,45146,25860,0,0.001129,15.35,16.76,4,0,0,False,False,False,"3 failed, 5 passed in 0.00s","20 / 2 / 5 = 50
100 / 10 / 2 = 20
2 * 3 * 4 = 24
10 - 2 - 3 = 5
1 + 2 + 3 = 6
(20 / 2) / 5 = 2
20 / (2 / 5) = 50
100 - 50 / 5 = 90
8 / 4 * 2 = 1","20 / 2 / 5 = 2
100 / 10 / 2 = 5
2 * 3 * 4 = 24
10 - 2 - 3 = 5
1 + 2 + 3 = 6
(20 / 2) / 5 = 2
20 / (2 / 5) = 50
100 - 50 / 5 = 90
8 / 4 * 2 = 4",0,"match[0m | [0m→ [0mRead buggy.py[90m [offset=1, limit=200][0m | [0m✗ [0medit failed | [91m[1mError: [0mCould not find oldString in the file. It must match exactly, including whitespace, indentation, and line endings. | [93m[1m! [0mpermission requested: external_directory (/private/var/f"
H4_expr_parser,with-skill,2,ses_1c00e8b7cffeKJ0F6JP8ubrYaU,accounts/fireworks/models/gpt-oss-20b,19871,4687,72231,47673,0,0.001931,85.11,85.95,5,0,0,True,True,True,8 passed in 0.00s,"20 / 2 / 5 = 2
100 / 10 / 2 = 5
2 * 3 * 4 = 24
10 - 2 - 3 = 5
1 + 2 + 3 = 6
(20 / 2) / 5 = 2
20 / (2 / 5) = 50
100 - 50 / 5 = 90
8 / 4 * 2 = 4","20 / 2 / 5 = 2
100 / 10 / 2 = 5
2 * 3 * 4 = 24
10 - 2 - 3 = 5
1 + 2 + 3 = 6
(20 / 2) / 5 = 2
20 / (2 / 5) = 50
100 - 50 / 5 = 90
8 / 4 * 2 = 4",0,"_qzynqmaw/buggy.py | +++ /private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_H4_expr_parser_with-skill_qzynqmaw/buggy.py | @@ -73,11 +73,11 @@ |      return value |   |  def term(self) -> float: |      value = self.factor() | -    if self._peek() in (""*"", ""/""): | +    while self._peek() in "
H4_expr_parser,with-skill,3,ses_1c00d3aa9ffeU1kS5gKixGQYga,accounts/fireworks/models/gpt-oss-20b,26965,4876,119107,87266,0,0.002323,121.4,122.33,8,2,0,True,True,True,8 passed in 0.00s,"20 / 2 / 5 = 2
100 / 10 / 2 = 5
2 * 3 * 4 = 24
10 - 2 - 3 = 5
1 + 2 + 3 = 6
(20 / 2) / 5 = 2
20 / (2 / 5) = 50
100 - 50 / 5 = 90
8 / 4 * 2 = 4","20 / 2 / 5 = 2
100 / 10 / 2 = 5
2 * 3 * 4 = 24
10 - 2 - 3 = 5
1 + 2 + 3 = 6
(20 / 2) / 5 = 2
20 / (2 / 5) = 50
100 - 50 / 5 = 90
8 / 4 * 2 = 4",0,"lue = value * right | -        else: | -            value = value / right | -    return value | +    def term(self) -> float: | +        value = self.factor() | +        while self._peek() in (""*"", ""/""): | +            op = self._advance() | +            right = self.factor() | +            if op =="
